scenario_code,scenario_column,sensors
-1,scenario_-1,carra_capflag
0,scenario_0,carra_calibrated
1,scenario_1,gcomc
2,scenario_2,gcomc+mod10
3,scenario_3,gcomc+mod10+myd10
4,scenario_4,gcomc+mod10+myd10+sice
5,scenario_5,gcomc+mod10+myd10+sice+viirs_sr_vj109ga
6,scenario_6,gcomc+mod10+myd10+sice+viirs_sr_vj109ga+viirs_sr_vj209ga
7,scenario_7,gcomc+mod10+myd10+sice+viirs_sr_vj109ga+viirs_sr_vj209ga+viirs_sr_vnp09ga
8,scenario_8,gcomc+mod10+myd10+sice+viirs_sr_vj109ga+viirs_sr_vnp09ga
9,scenario_9,gcomc+mod10+myd10+sice+viirs_sr_vj209ga
10,scenario_10,gcomc+mod10+myd10+sice+viirs_sr_vj209ga+viirs_sr_vnp09ga
11,scenario_11,gcomc+mod10+myd10+sice+viirs_sr_vnp09ga
12,scenario_12,gcomc+mod10+myd10+viirs_sr_vj109ga
13,scenario_13,gcomc+mod10+myd10+viirs_sr_vj109ga+viirs_sr_vj209ga
14,scenario_14,gcomc+mod10+myd10+viirs_sr_vj109ga+viirs_sr_vj209ga+viirs_sr_vnp09ga
15,scenario_15,gcomc+mod10+myd10+viirs_sr_vj109ga+viirs_sr_vnp09ga
16,scenario_16,gcomc+mod10+myd10+viirs_sr_vj209ga
17,scenario_17,gcomc+mod10+myd10+viirs_sr_vj209ga+viirs_sr_vnp09ga
18,scenario_18,gcomc+mod10+myd10+viirs_sr_vnp09ga
19,scenario_19,gcomc+mod10+sice
20,scenario_20,gcomc+mod10+sice+viirs_sr_vj109ga
21,scenario_21,gcomc+mod10+sice+viirs_sr_vj109ga+viirs_sr_vj209ga
22,scenario_22,gcomc+mod10+sice+viirs_sr_vj109ga+viirs_sr_vj209ga+viirs_sr_vnp09ga
23,scenario_23,gcomc+mod10+sice+viirs_sr_vj109ga+viirs_sr_vnp09ga
24,scenario_24,gcomc+mod10+sice+viirs_sr_vj209ga
25,scenario_25,gcomc+mod10+sice+viirs_sr_vj209ga+viirs_sr_vnp09ga
26,scenario_26,gcomc+mod10+sice+viirs_sr_vnp09ga
